fact_rating_phase1,snopes_url_phase1,article_title_phase1,article_category_phase1,article_date_phase1,article_claim_phase1,article_origin_url_phase1,index_paragraph_phase1,page_is_first_citation_phase1,error_phase2,original_article_text_phase2,article_title_phase2,publish_date_phase2,author_phase2,Jerry-label,Jill-label,Fatemeh-label,notes,original order,Agreement
mixture,https://www.snopes.com/fact-check/elizabeth-warren-wealthy-native-american/,Did Elizabeth Warren Lie About Her Native American Heritage to Land a Job at Harvard?,Politics  Politicians,30-Oct-14,Elizabeth Warren lives in a multi-million-dollar mansion and relied on scant Native American heritage claims to land a job at Harvard.,https://www.bostonglobe.com/metro/2012/01/13/elizabeth-warren-salary-topped-over-two-years/pRhtt3yITonYDO7SXiongJ/story.html,3,TRUE,No Error,"Elizabeth Warren, the Harvard Law School professor and consumer advocate challenging Republican Senator Scott Brown, took home more than $700,000 in compensation from teaching and consulting fees over a two-year period from 2010 to 2011, according to her most recent financial disclosure form.
Over that same period, she was collecting a six-figure salary for two consecutive federal government appointments.
She earned about $165,300 from September 2010 through August 2011 as a special adviser to President Obama, setting up the consumer protection agency she helped establish.
Advertisement
Before that, she collected a total of $192,722 for leading the congressional panel that oversaw the US bank bailout. That government salary covered a period that began before her latest disclosure report, spanning from November 2008 through September 2010.
Get Fast Forward in your inbox: Forget yesterday's news. Get what you need today in this early-morning email. Sign Up Thank you for signing up! Sign up for more newsletters here
Those numbers were not required to be in her financial disclosure report but were provided by her campaign.
Warrens compensation puts her in the top echelon of American earners.
A Democrat, Warren has pitched her campaign as a fight for the middle class, which she says has been left behind in the recession while the financial industry has been protected. Her salary and net worth have been a constant theme in Republican attacks against her.
Browns campaign argued yesterday that her high salary makes her an elitist hypocrite.
Advertisement
Within Warrens $700,000 in teaching and consulting fees is a $43,938 payment she earned in 2010 as a consultant for Travelers Insurance company for cases involving asbestos victims.
She is firmly entrenched in the same 1 percent she rails against, and she is more than happy to make tens of thousands of dollars defending powerful insurance companies against middle-class victims, said Jim Barnett, a spokesman for Brown.
Despite her claims, you dont need to be a Harvard professor to know that insurance companies dont hire bigtime lawyers because of their interest in protecting the little guy. But Warrens campaign said her work for Travelers was intended to make sure victims got a fair shake in compensation claims.
Democrats argue that Warrens high salary does not detract from her conviction that the system needs change to protect the middle class.
Elizabeth went from a maintenance mans daughter to a Harvard law professor through hard work and determination, said Kyle Sullivan, a Warren spokesman. Shes made her lifes work understanding the pressures facing families like hers, standing up to the big banks and credit card companies.
Advertisement
Warren has also railed at inequities in the tax laws that favor multinational corporations over average wage-earners.
A big company like GE pays nothing in taxes and were asking college students to take on even more debt to get an education, she has said.
Warrens financial disclosure form shows she owns stock and other investments worth more than $3 million, including between $100,000 and $250,000 in IBM stock. IBM is listed along with GE and 10 other major US companies that relied on loopholes to pay significantly less than the standard corporate rate between 2008 and 2010, according to a report from Citizens for Tax Justice, a politically liberal group.
The report said IBM effectively paid an estimated 3.8 percent in taxes over that period, legally avoiding the full 35 percent rate. The group contended that GEs effective rate was negative 61.3 percent over that period.
Elizabeth has been clear and unequivocal that large corporations should pay their fair share of taxes - IBM included, Sullivan said in an e-mail.
Warrens newest financial disclosure form was filed late last month, a requirement of seeking office. In a previous disclosure, she reported earning $349,375 at Harvard in 2009, in addition to about $182,000 in royalties and consulting fees.
The newest disclosure data from Warren were first reported by the Associated Press.
Brown was most recently required to file in the spring. It showed he earned a $700,000 advance for his memoir, Against All Odds. He earns $174,000 annually as a US senator.
He will not be required to file again until May 15.
Warrens form also showed that her house in Cambridge, owned with her husband, Harvard professor Bruce Mann, is worth between $1 million and $5 million. She did not have to disclose Manns salary. He is also a tenured professor at Harvard.
